,ES,SL,
seawater,0,6,
water-conservation,0,6,
sea-level,59,0,
water-vapour,12,0,
water,85,71,
ocean,213,0,
water-management,0,21,
water-table,10,0,
sea-ice,15,0,
underground-water,4,0,
groundwater,49,0,
